run,tag,step,value
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,1176,0.8954585194587708
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,1568,0.9025334119796753
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,1960,0.9033604860305786
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,2352,0.9088939428329468
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,2744,0.9121286869049072
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,3136,0.915706217288971
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,3528,0.9171376824378967
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,3920,0.9154139757156372
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,4312,0.9191014170646667
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,4704,0.9204733967781067
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,5096,0.9205864667892456
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,5488,0.9227598309516907
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,5880,0.9241753816604614
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,6272,0.9232752919197083
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,6664,0.9252927899360657
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,7056,0.9270066022872925
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,7448,0.9265627861022949
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,7840,0.9273107647895813
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_binary_iou_vs_iterations,392,0.43008750677108765
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_binary_iou_vs_iterations,784,0.48526009917259216
